,date,year,id,link,retweet,text,author
1857,12/6,2015,6.74E+17,/realDonaldTrump/status/673641058518069250,FALSE,"May the Festival of Lights bring our Jewish friends from around the world, health & happiness! Happy Hanukkah!pic.twitter.com/03UZBGCswB",DonaldTrump
1858,12/6,2015,6.74E+17,/realDonaldTrump/status/673632025836961792,FALSE,"I have been saying it for sometime now!#MakeAmericaGreatAgain #Trump2016pic.twitter.com/QFCHFo88rN",DonaldTrump
1859,12/6,2015,6.74E+17,/realDonaldTrump/status/673606013984075777,FALSE,"Thank you America! Together, we will all #MakeAmericaGreatAgain! #Trump2016pic.twitter.com/DQiox2k2DV",DonaldTrump
1860,12/6,2015,6.74E+17,/realDonaldTrump/status/673587704572092417,FALSE,"Wow, @GeorgeWill said some very nice things about me today on @FoxNewsSunday with Chris Wallace. I am making progress, thanks George!",DonaldTrump
1861,12/6,2015,6.74E+17,/realDonaldTrump/status/673583777646583808,FALSE,I will be live-tweeting President Obama's prime-time speech tonight starting at 7:50 P.M. (Eastern).Will he finally state the real problems?,DonaldTrump
1862,12/6,2015,6.74E+17,/realDonaldTrump/status/673523559109681156,FALSE,"Hillary just said that she will not use the term ""radical Islamic"" - but was incapable of saying why. She is afraid of  Obama & the e-mails!",DonaldTrump
1863,12/6,2015,6.74E+17,/realDonaldTrump/status/673522244547682305,TRUE,"""@CindyBlackwel12:  @dr_tweedy @CNN @JohnKasich AMERICA WANTS #TRUMP  pic.twitter.com/ZH11ytGroV""  @jaketapper   Politicians are so dishonest!",DonaldTrump
1864,12/6,2015,6.74E+17,/realDonaldTrump/status/673515997538684928,TRUE,"""@JSears68: Poll numbers will go up even more for @realDonaldTrump after Obama's 'address'",DonaldTrump
1865,12/5,2015,6.73E+17,/realDonaldTrump/status/673301477901910020,FALSE,Wonder if Obama will ever say RADICAL ISLAMIC TERRORIST?,DonaldTrump
1866,12/5,2015,6.73E+17,/realDonaldTrump/status/673300896151969792,FALSE,.@KatyTurNBC & @DebSopan should be fired for dishonest reporting. Thank you @GatewayPundit for reporting the truth. #Trump2016,DonaldTrump
1867,12/5,2015,6.73E+17,/realDonaldTrump/status/673300749649059842,TRUE,"""@Pimpburgh2015: @KatyTurNBC @realDonaldTrump just tweeted that you are a third rate reporter."" That's only because I'm being nice!",DonaldTrump
1868,12/5,2015,6.73E+17,/realDonaldTrump/status/673299830094057472,FALSE,".@KatyTurNBC, 3rd rate reporter & @SopanDeb @ CBS lied. Finished in normal manner&signed autos for 20min. Dishonest!http://www.thegatewaypundit.com/2015/12/nbc-and-cbs-falsely-claim-trump-forced-from-stage-by-black-lives-matter-protesters-at-nc-rally/åÊ‰Û_",DonaldTrump
1869,12/5,2015,6.73E+17,/realDonaldTrump/status/673162414372880385,FALSE,Done by a real fan! #TRUMPhttps://www.youtube.com/watch?v=SGbI-14neOsåÊ‰Û_,DonaldTrump
1870,12/5,2015,6.73E+17,/realDonaldTrump/status/673118526056583170,FALSE,"Raleigh, North Carolina, was fantastic last night. Such incredible spirit. We all want to, and will, MAKE AMERICA GREAT AGAIN!",DonaldTrump
1871,12/5,2015,6.73E+17,/realDonaldTrump/status/673098948479987712,TRUE,"""@AmericanAsPie: @DiamondandSilk you were awesome at the @realDonaldTrump rally. It was exciting to see you."" Two truly fantastic women!",DonaldTrump
1872,12/4,2015,6.73E+17,/realDonaldTrump/status/672982920504700928,TRUE,"""@ben_techpro: Donald Trump opens up 'massive' lead in national poll http://ln.is/com/ape7CåÊ  #makeamericagreatagain #wakeupamerica @GOP""",DonaldTrump
1873,12/4,2015,6.73E+17,/realDonaldTrump/status/672979365668499457,TRUE,"""@bjmgraphics:  @MarkHalperin Trump understands freedom needs defending with full heart and diligence. He will fight for America!",DonaldTrump
1874,12/4,2015,6.73E+17,/realDonaldTrump/status/672958422443286528,FALSE,"A great night in Raleigh, North Carolina! THANK YOU! #Trump2016pic.twitter.com/oouSXAe267",DonaldTrump
1875,12/4,2015,6.73E+17,/realDonaldTrump/status/672926510924374016,FALSE,"Good news, disloyal @Macys stock is in a total free fall. Don't shop there for Christmas! https://www.facebook.com/DonaldTrump/posts/10156377233170725:0åÊ‰Û_pic.twitter.com/vT3uGjiZ9B",DonaldTrump
1876,12/4,2015,6.73E+17,/realDonaldTrump/status/672876853120626688,FALSE,The horrible shooting that took place in San Bernardino was an absolute act of terror that many people knew about. Why didn‰Ûªt they report?,DonaldTrump
1877,12/4,2015,6.73E+17,/realDonaldTrump/status/672792662865506305,FALSE,"The virtually incompetent Republican Strategist who has had a failed career, Cheri Jacobus, is incoherent with anger that her puppets died!",DonaldTrump
1878,12/4,2015,6.73E+17,/realDonaldTrump/status/672787852246319104,FALSE,".@CNN & @CNNPolitics Please thank Alisyn Camerota, David Chalian and John King for the very professional reporting of the new CNN Poll.",DonaldTrump
1879,12/4,2015,6.73E+17,/realDonaldTrump/status/672768400914055168,FALSE,".@CNN Poll just came out, amazing numbers for those who want to MAKE AMERICA GREAT AGAIN! TRUMP 36%, a 20 point lead over 2nd place. Thanks.",DonaldTrump
1880,12/4,2015,6.73E+17,/realDonaldTrump/status/672729880983900161,TRUE,"""@RussOnPolitics: The GOP establishment: Republican voters think Donald Trump would be most electable nominee. http://ow.ly/VsHoJåÊ""",DonaldTrump
1881,12/4,2015,6.73E+17,/realDonaldTrump/status/672727277134880768,TRUE,"""@aews: Another clip that seems to vindicate The Donald... http://fb.me/3tejxFow5åÊ""",DonaldTrump
1882,12/3,2015,6.73E+17,/realDonaldTrump/status/672640248707436544,TRUE,"""@Kacee50: @realDonaldTrump We can't take 8 years of Hilary or 8 years of establishment GOP!!! We need Trump!!""",DonaldTrump
1883,12/3,2015,6.73E+17,/realDonaldTrump/status/672626157850861568,TRUE,"""@GaryT212:  @realDonaldTrump America needs a real leader, America needs Donald Trump for President!""",DonaldTrump
1884,12/3,2015,6.73E+17,/realDonaldTrump/status/672543213639630850,FALSE,I invite you to join my campaign to Make America Great Again! Sign up to Volunteer! https://www.donaldjtrump.com/volunteeråÊ,DonaldTrump
1885,12/3,2015,6.73E+17,/realDonaldTrump/status/672504459239538688,FALSE,"Great to see the construction of the Old Post Office on Penn Ave. Going fast - under budget, ahead of schedule!",DonaldTrump
1886,12/3,2015,6.72E+17,/realDonaldTrump/status/672498342656634880,FALSE,It was recently reported that 3rd rate $ losing @Politico is a foil for the Clintons. Questions given to Clinton in advance. No credibility.,DonaldTrump
1887,12/3,2015,6.72E+17,/realDonaldTrump/status/672497550113570816,FALSE,"Thank you so much for the wonderful article, Robert Davi.http://www.breitbart.com/big-hollywood/2015/11/30/robert-davi-donald-trump-is-the-john-wayne-of-politics/åÊ‰Û_",DonaldTrump
